id,title,status,q5_weight,description
ADR-052,Universal Atomic Calculator / UAC Integration,SPECIFIED,1 + 0*phi,"SPECIFIED. UAC quantum monad, QCFI thermodynamic window, MA-VQE branch pruning, HSEC entropy bounds, and call_49 mirror audit. Classification records architecture scope only."
ADR-053,Lean 4 Formalization and Monorepo Architecture,SPECIFIED,1 + 0*phi,"SPECIFIED. Monorepo Lake workspace for Lean theory expansion, shared axioms, and incremental build integration. Classification records architecture scope only."
ADR-054,Rust/Kani Executable Formal Verification Mathlib-Free,SPECIFIED,1 + 0*phi,SPECIFIED. Rust/Kani mathlib-free pipeline replaces large Mathlib proof dependencies with executable symbolic harnesses. Kani confirms bounded executable obligations but does not replace Lean as specification authority.
ADR-055,Riemann zeta computational implementation,OPEN_CRUX,-1 + 1*phi,"OPEN_CRUX. Odlyzko-Schoenhage, 256-bit MPFR, interval arithmetic. The crux stays none; hodgeIndexHolds remains Option Bool := none. Infrastructure evidence, not a proof of RH."
ADR-056,Collatz computational verification,SPECIFIED,1 + 0*phi,SPECIFIED. SIMD and GPU-oriented computational verification infrastructure for bounded trajectories. Classification records the verification pipeline; the conjecture is not claimed proved.
ADR-057,Lean 4 Formal ADR Scaffolding,SPECIFIED,1 + 0*phi,"SPECIFIED. ADRs as inductive dependent types with accepted_constraints_invariant, no_circular_supersession, and consequence_entailment obligations. Classification records theorem obligations, not completion of all Lean proofs."
ADR-058,PIRTM Compiler Sig Library Phase B,SPECIFIED,1 + 0*phi,"SPECIFIED. Multiplicity functor and Prime Successor Predicate enforcement, tree-sitter integration, and Kani multiplicity-conservation harness."
ADR-059,Attested Convergence Envelope Runtime,SPECIFIED,1 + 0*phi,"SPECIFIED. ACE runtime invariants, budget veto, FREEZE fail-closed semantics, and Kani ace_runtime_budget_veto harness."
ADR-060,Dynamic Recursive Meta-Mathematics,PROVEN_NO_SORRY,1 + 1*phi,"PROVEN_NO_SORRY. DRMM no sorry mandate, multi-scale Prime Successor Predicate, recursive operator T over lawful Hilbert state, and Rust/Kani runtime confirmation."
ADR-061,ZMOS Production Implementation,SPECIFIED,1 + 0*phi,"SPECIFIED. Operator algebra over prime-graded Hilbert spaces, spectral radius bounds, RG conditions, and Lean/Rust FFI parity requirements."
ADR-062,Sigma Kernel Production Implementation,SILENCE_PENDING,0 + 1*phi,"SILENCE_PENDING. Dissonance detection, L_eff < 1.0, Delta R_sc <= tau_R = 47.07. Governance gap explicitly tracked until sigma_kernel_preserves_contraction, dissonance_detects_drift, and no_spectral_explosion are completed."
